波数(cm-1),吸光度
1051.98,0.220109
1052.46,0.219104
1052.94,0.218176
1053.42,0.217316
1053.91,0.216515
1054.39,0.215764
1054.87,0.215064
1055.35,0.214426
1055.84,0.213865
1056.32,0.213384
1056.80,0.212972
1057.28,0.212591
1057.76,0.212180
1058.25,0.211671
1058.73,0.210994
1059.21,0.210101
1059.69,0.208981
1060.17,0.207657
1060.66,0.206186
1061.14,0.204645
1061.62,0.203116
1062.10,0.201662
1062.59,0.200329
1063.07,0.199134
1063.55,0.198072
1064.03,0.197129
1064.51,0.196281
1065.00,0.195507
1065.48,0.194783
1065.96,0.194078
1066.44,0.193354
1066.92,0.192568
1067.41,0.191677
1067.89,0.190656
1068.37,0.189502
1068.85,0.188244
1069.34,0.186932
1069.82,0.185631
1070.30,0.184393
1070.78,0.183253
1071.26,0.182215
1071.74,0.181263
1072.23,0.180369
1072.71,0.179505
1073.19,0.178658
1073.67,0.177834
1074.16,0.177048
1074.64,0.176323
1075.12,0.175677
1075.60,0.175116
1076.08,0.174633
1076.57,0.174204
1077.05,0.173792
1077.53,0.173357
1078.01,0.172859
1078.49,0.172272
1078.98,0.171591
1079.46,0.170840
1079.94,0.170066
1080.42,0.169325
1080.91,0.168670
1081.39,0.168124
1081.87,0.167678
1082.35,0.167283
1082.83,0.166882
1083.32,0.166422
1083.80,0.165884
1084.28,0.165295
1084.76,0.164720
1085.24,0.164243
1085.73,0.163932
1086.21,0.163818
1086.69,0.163881
1087.17,0.164060
1087.65,0.164267
1088.14,0.164418
1088.62,0.164457
1089.10,0.164355
1089.58,0.164113
1090.07,0.163748
1090.55,0.163285
1091.03,0.162744
1091.51,0.162143
1091.99,0.161503
1092.48,0.160846
1092.96,0.160199
1093.44,0.159585
1093.92,0.159020
1094.40,0.158506
1094.89,0.158034
1095.37,0.157586
1095.85,0.157140
1096.33,0.156671
1096.82,0.156153
1097.30,0.155556
1097.78,0.154851
1098.26,0.154016
1098.74,0.153045
1099.23,0.151954
1099.71,0.150777
1100.19,0.149557
1100.67,0.148323
1101.15,0.147079
1101.64,0.145793
1102.12,0.144419
1102.60,0.142912
1103.08,0.141265
1103.57,0.139521
1104.05,0.137773
1104.53,0.136141
1105.01,0.134721
1105.49,0.133562
1105.98,0.132641
1106.46,0.131875
1106.94,0.131144
1107.42,0.130337
1107.90,0.129390
1108.39,0.128286
1108.87,0.127056
1109.35,0.125746
1109.83,0.124392
1110.32,0.123006
1110.80,0.121574
1111.28,0.120072
1111.76,0.118489
1112.24,0.116829
1112.72,0.115119
1113.21,0.113385
1113.69,0.111640
1114.17,0.109870
1114.65,0.108043
1115.14,0.106118
1115.62,0.104071
1116.10,0.101909
1116.58,0.099676
1117.06,0.097441
1117.55,0.095269
1118.03,0.093213
1118.51,0.091288
1118.99,0.089480
1119.47,0.087747
1119.96,0.086043
1120.44,0.084330
1120.92,0.082585
1121.40,0.080804
1121.88,0.078996
1122.37,0.077178
1122.85,0.075371
1123.33,0.073594
1123.81,0.071866
1124.30,0.070202
1124.78,0.068618
1125.26,0.067118
1125.74,0.065701
1126.22,0.064356
1126.71,0.063068
1127.19,0.061823
1127.67,0.060609
1128.15,0.059424
1128.63,0.058272
1129.12,0.057162
1129.60,0.056103
